Fecha,BCA,BCS,CEN,NES,NOR,NTE,OCC,ORI,PEN
2020-06-17,45.515594,7.7323785,154.52879,175.55167,88.079468,101.45488,207.60402,137.99615,32.508274
2020-06-18,46.133476,7.9181108,155.88725,177.52554,89.544266,102.09482,207.00726,139.16583,31.778505
2020-06-19,46.620647,7.8335323,154.16173,173.90211,89.637619,101.5523,202.13741,141.02884,32.272682
2020-06-20,45.378418,7.7601099,147.46606,165.83427,88.972847,97.406189,192.15364,140.3183,32.498825
2020-06-21,42.769268,7.4634609,132.84595,154.52377,85.199783,85.961868,166.13591,133.80409,31.996719
2020-06-22,48.231098,7.7522588,148.41933,179.87393,90.119797,100.10308,189.26294,141.51381,35.47438
2020-06-23,49.270603,7.5927849,152.89799,184.30881,92.375397,105.74961,196.55917,138.47223,36.696026
2020-06-24,50.030212,7.7523179,153.27458,176.23041,93.163933,100.40617,194.42944,132.14537,37.229275
2020-06-25,49.453377,7.6985893,153.1698,166.01381,93.894516,99.730576,193.72975,132.16367,37.644585
2020-06-26,50.716591,7.6358185,152.64529,162.17464,93.948357,101.75489,187.70702,135.84955,38.008682
2020-06-27,48.308994,8.102026,145.18553,154.37341,90.727631,95.186157,176.02164,133.29033,36.726894
2020-06-28,44.300106,8.0568094,133.55493,146.2365,87.795494,83.311852,157.91084,125.61077,34.968472
2020-06-29,43.650993,8.5515394,147.91803,172.01099,92.342346,97.310684,183.04317,136.99596,38.231842
2020-06-30,44.989368,8.0722885,149.16515,177.76663,92.389328,101.51053,191.9761,140.23802,39.515274
2020-07-01,47.100239,8.2388496,149.80267,178.214,91.043907,98.51548,192.13425,142.67883,38.996677
2020-07-02,48.322449,8.5853205,149.48102,179.52237,93.071938,97.444847,190.14282,143.20705,37.440861
2020-07-03,50.382706,8.9614677,147.57204,177.05984,94.335403,97.401627,187.11189,140.56555,35.32291
2020-07-04,49.943172,9.1668282,136.10469,167.54852,94.627487,91.945137,180.80804,136.25801,33.845402
2020-07-05,48.471916,8.8713522,127.40663,157.39293,93.457909,82.596825,159.40523,133.2814,33.40963
2020-07-06,53.050499,9.0366449,146.80359,185.7234,98.416916,95.119766,188.82869,142.07039,36.751213
2020-07-07,54.057446,8.9079695,156.61205,193.09256,98.038086,100.10643,196.48911,140.59421,38.871449
2020-07-08,53.273262,8.8483934,156.86156,194.69283,97.606613,101.85659,193.69156,143.77341,39.865135
2020-07-09,52.269871,8.9662275,157.16798,196.25655,96.663383,102.9725,190.58389,147.88553,39.68486
2020-07-10,53.961304,9.4342413,154.64532,195.83923,93.509918,103.78503,186.12737,148.1442,38.658897
2020-07-11,52.945831,9.2165298,145.71011,182.39691,95.141991,98.197533,178.21782,142.33186,36.712452
2020-07-12,52.043297,9.2525358,133.95715,169.00751,95.456581,89.774315,156.90701,133.19705,35.327175
2020-07-13,57.482422,9.3577023,149.77287,193.61659,100.1101,101.84197,183.10603,142.91754,37.562492
2020-07-14,56.053352,9.5756655,157.16725,196.98563,100.5071,106.46832,195.70146,146.56351,38.401356
2020-07-15,53.827072,9.4772596,158.86603,196.47711,99.834641,106.13412,197.76187,146.36566,39.858372
2020-07-16,54.132774,9.5095701,158.74408,196.51825,97.017593,104.23996,197.07518,148.38759,39.789593
2020-07-17,54.264236,9.2813387,155.81085,192.68126,97.715157,105.05814,193.88503,147.61852,39.165478
2020-07-18,52.202202,9.1903429,147.56331,171.51233,93.356636,99.232758,183.03915,145.94342,36.877998
2020-07-19,49.4361,8.9802313,135.35521,149.52713,89.836166,89.368279,160.55174,137.4563,35.098022
2020-07-20,53.309975,9.2742081,152.07016,177.09985,95.346695,98.824715,185.35266,144.24315,36.836308
2020-07-21,54.230789,9.0741253,159.43387,182.65009,90.806671,100.38477,197.72224,144.45638,37.208099
2020-07-22,54.667496,9.0590458,159.22893,185.43991,91.348305,99.088226,199.24689,143.84624,37.390202
2020-07-23,53.396976,8.8470869,157.83086,187.19914,89.852997,95.729561,197.42166,145.10329,37.352573
2020-07-24,52.129383,8.6494026,156.67386,188.84639,89.487839,88.992531,196.46736,145.1987,38.428101
2020-07-25,49.757183,8.6016264,147.05545,173.63666,91.197502,80.673531,186.23982,145.6384,36.356625
2020-07-26,48.456436,8.5422297,136.72939,134.04964,90.94957,75.63707,161.44345,139.44936,34.064121
2020-07-27,54.041996,9.0047255,152.24644,131.15465,93.205696,84.941658,181.5672,145.67564,37.386532
2020-07-28,55.147999,8.7881193,157.20518,147.60614,90.301285,91.239838,189.98547,139.98578,39.172577
2020-07-29,57.022495,8.6512709,157.64903,149.79117,90.998703,95.439651,188.79062,141.23935,39.677402
2020-07-30,58.91206,8.7728357,156.6647,160.73782,93.609291,97.929062,187.2431,142.78381,39.462376
2020-07-31,59.931564,8.9256592,155.48387,171.09549,92.823875,97.680687,185.00931,142.07231,40.274296
2020-08-01,56.87151,9.1400995,146.00496,158.41946,92.182625,93.095657,173.75243,142.07153,38.353664
2020-08-02,52.255249,9.1195354,134.2542,144.53238,88.19413,83.530609,152.87965,137.11794,37.325668
2020-08-03,56.533237,9.7630987,149.86119,170.64661,98.432518,95.934853,179.49782,144.51128,39.85767
2020-08-04,57.456314,9.9524002,155.19679,181.66991,98.31588,100.22041,188.94736,146.44221,39.674099
2020-08-05,55.014015,9.629426,155.2999,186.70435,101.94579,101.94341,193.07751,145.20186,39.232613
2020-08-06,53.25153,9.283433,157.9187,187.87488,103.6647,102.8586,195.19807,146.02327,35.833752
2020-08-07,51.006008,9.1215715,158.93111,185.3566,100.12905,102.81827,195.24477,142.24084,35.715572
2020-08-08,50.017315,9.1288576,150.87434,171.58063,101.52256,98.349052,186.5817,136.99477,35.894615
