Fecha,BCA,BCS,CEN,NES,NOR,NTE,OCC,ORI,PEN,Nacional
2020-06-17,44.00719928,7.710677904,149.7635831,169.0287909,87.08208761,97.66865865,199.374301,135.7355678,31.75468863,922.1494582
2020-06-18,44.29480579,7.867270718,150.8697057,171.024744,87.95312377,98.02808865,198.8107412,136.386111,31.0309664,926.4145404
2020-06-19,45.33357353,7.742869785,150.1043178,168.3767591,88.21284571,98.51529327,195.7045671,139.174061,31.79340105,925.2052008
2020-06-20,47.03902611,7.752083429,151.0400834,171.5435316,89.33211829,99.75389529,195.7124771,140.9011517,33.33701843,936.3078838
2020-06-21,47.67430369,7.70801678,147.0011326,176.2143556,89.84338575,97.27495334,191.1419196,141.3257654,34.21760084,932.0152233
2020-06-22,47.99966535,7.717273678,148.6214591,179.378536,90.09028441,100.9043104,190.8960177,142.2995113,35.19798039,943.4655115
2020-06-23,47.87316216,7.553709718,148.5586636,176.5079639,91.48941241,102.0063397,188.6025078,136.7603041,36.00125345,935.4608967
2020-06-24,48.37220205,7.730561345,148.5480492,169.6823114,92.10897794,96.65908573,186.7219802,129.9806322,36.3662505,916.0311752
2020-06-25,47.48239066,7.649158707,148.2397223,159.9345613,92.22607271,95.75801931,186.0589584,129.5238132,36.75905623,903.6123179
2020-06-26,49.31643928,7.547444254,148.6277893,157.0219032,92.45506533,98.71182465,181.7334114,134.0628878,37.44421583,906.971058
2020-06-27,50.07684556,8.093645877,148.7042819,159.6881027,91.09398809,97.48035557,179.2816997,133.843989,37.67413567,905.8391545
2020-06-28,49.38070736,8.320807583,147.7856568,166.763797,92.58056953,94.27617971,181.6788501,132.6718654,37.39562225,911.0013656
2020-06-29,43.44153758,8.512947209,148.1194764,171.5372515,92.31210556,98.08956387,184.6225797,137.7565776,37.93395755,922.7107178
2020-06-30,43.71335398,8.030745622,144.9317636,170.2426808,91.5032098,97.91731252,184.2049592,138.5042637,38.76712412,917.7013082
2020-07-01,45.53932887,8.215727614,145.1832026,171.5921982,90.01295836,94.83895489,184.5177748,140.3415385,38.09268175,918.0318151
2020-07-02,46.3965363,8.530196442,144.6696731,172.9484522,91.41811137,93.56333749,182.6140541,140.3466111,36.56012451,916.8930955
2020-07-03,48.99177197,8.857750862,143.6880631,171.4341593,92.83595931,94.48874963,181.1572209,138.7168641,34.79833017,915.0349672
2020-07-04,51.77082576,9.157346726,139.4033565,173.3167989,95.00959166,94.16121976,184.1567476,136.8239961,34.71832567,918.4125428
2020-07-05,54.0309655,9.162040578,140.9822348,179.4862611,98.55160041,93.46705097,183.3981688,140.7736929,35.72858153,935.9984954
2020-07-06,52.79594088,8.99586348,147.0035187,185.2118959,98.38468625,95.88110965,190.4580207,142.8591815,36.46486491,958.5594255
2020-07-07,52.524238,8.862125909,152.1673166,184.9199429,97.09778982,96.56291413,188.5352838,138.8560502,38.13548877,957.6329835
2020-07-08,51.50777681,8.823560755,152.0244175,187.4587331,96.50135062,98.05537713,186.0133508,141.4181876,38.94100773,960.4504696
