Fecha,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán,Morelos,Nacional,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-02-27,201.21805,33.578495,6.1023569,29.870262,127.30774,72.404549,164.53162,134.17456,201.21805,72.404549,201.21805,127.30774,164.53162,201.21805,164.53162,201.21805,164.53162,820.75153,201.21805,134.17456,127.30774,127.30774,201.21805,29.870262,201.21805,51.563904,51.563904,127.30774,134.17456,127.30774,127.30774,29.870262,201.21805
2020-02-28,200.77257,33.558647,6.195055,27.847811,127.43192,71.778229,163.99107,134.27597,200.77257,71.778229,200.77257,127.43192,163.99107,200.77257,163.99107,200.77257,163.99107,817.95624,200.77257,134.27597,127.43192,127.43192,200.77257,27.847811,200.77257,52.104973,52.104973,127.43192,134.27597,127.43192,127.43192,27.847811,200.77257
2020-02-29,190.77905,30.510529,6.1686831,26.537045,126.67976,66.692009,155.87297,125.11987,190.77905,66.692009,190.77905,126.67976,155.87297,190.77905,155.87297,190.77905,155.87297,779.04657,190.77905,125.11987,126.67976,126.67976,190.77905,26.537045,190.77905,50.686657,50.686657,126.67976,125.11987,126.67976,126.67976,26.537045,190.77905
2020-03-01,166.80296,27.598852,5.9915414,25.942255,119.03376,58.697758,143.30972,112.74985,166.80296,58.697758,166.80296,119.03376,143.30972,166.80296,143.30972,166.80296,143.30972,706.75116,166.80296,112.74985,119.03376,119.03376,166.80296,25.942255,166.80296,46.624458,46.624458,119.03376,112.74985,119.03376,119.03376,25.942255,166.80296
2020-03-02,194.29446,32.083569,6.228569,32.566959,134.01538,67.022469,163.51578,138.31007,194.29446,67.022469,194.29446,134.01538,163.51578,194.29446,163.51578,194.29446,163.51578,818.35913,194.29446,138.31007,134.01538,134.01538,194.29446,32.566959,194.29446,50.32188,50.32188,134.01538,138.31007,134.01538,134.01538,32.566959,194.29446
2020-03-03,204.76173,33.397175,5.8979845,38.153694,143.51964,69.014641,168.88472,144.01103,204.76173,69.014641,204.76173,143.51964,168.88472,204.76173,168.88472,204.76173,168.88472,856.68176,204.76173,144.01103,143.51964,143.51964,204.76173,38.153694,204.76173,49.041115,49.041115,143.51964,144.01103,143.51964,143.51964,38.153694,204.76173
2020-03-04,206.12262,33.983536,5.831862,40.658691,149.47475,69.873932,170.52264,144.11177,206.12262,69.873932,206.12262,149.47475,170.52264,206.12262,170.52264,206.12262,170.52264,869.5188,206.12262,144.11177,149.47475,149.47475,206.12262,40.658691,206.12262,48.938969,48.938969,149.47475,144.11177,149.47475,149.47475,40.658691,206.12262
2020-03-05,206.86072,34.609715,5.9956098,40.570164,142.71727,70.610504,168.13206,133.09401,206.86072,70.610504,206.86072,142.71727,168.13206,206.86072,168.13206,206.86072,168.13206,852.83636,206.86072,133.09401,142.71727,142.71727,206.86072,40.570164,206.86072,50.246334,50.246334,142.71727,133.09401,142.71727,142.71727,40.570164,206.86072
2020-03-06,203.76044,34.085052,6.0681992,35.550743,134.08029,70.179672,166.89069,133.10638,203.76044,70.179672,203.76044,134.08029,166.89069,203.76044,166.89069,203.76044,166.89069,834.315,203.76044,133.10638,134.08029,134.08029,203.76044,35.550743,203.76044,50.593548,50.593548,134.08029,133.10638,134.08029,134.08029,35.550743,203.76044
2020-03-07,193.27344,31.159229,6.0276074,30.77998,129.26877,65.372261,156.60533,124.06422,193.27344,65.372261,193.27344,129.26877,156.60533,193.27344,156.60533,193.27344,156.60533,787.34802,193.27344,124.06422,129.26877,129.26877,193.27344,30.77998,193.27344,50.797192,50.797192,129.26877,124.06422,129.26877,129.26877,30.77998,193.27344
2020-03-08,168.26039,27.024517,5.7239318,28.578173,121.16205,59.028198,144.40509,111.4881,168.26039,59.028198,168.26039,121.16205,144.40509,168.26039,144.40509,168.26039,144.40509,712.08136,168.26039,111.4881,121.16205,121.16205,168.26039,28.578173,168.26039,46.410934,46.410934,121.16205,111.4881,121.16205,121.16205,28.578173,168.26039
2020-03-09,194.7903,33.120144,6.1921229,32.000278,131.16006,66.596443,161.82683,131.89276,194.7903,66.596443,194.7903,131.16006,161.82683,194.7903,161.82683,194.7903,161.82683,808.14679,194.7903,131.89276,131.16006,131.16006,194.7903,32.000278,194.7903,50.567856,50.567856,131.16006,131.89276,131.16006,131.16006,32.000278,194.7903
2020-03-10,206.3196,33.418568,6.3302908,34.13002,136.90298,70.247154,171.47395,139.24976,206.3196,70.247154,206.3196,136.90298,171.47395,206.3196,171.47395,206.3196,171.47395,850.8479,206.3196,139.24976,136.90298,136.90298,206.3196,34.13002,206.3196,52.775597,52.775597,136.90298,139.24976,136.90298,136.90298,34.13002,206.3196
2020-03-11,209.32382,33.704281,6.5980334,35.082195,140.6041,71.472633,171.9575,144.16676,209.32382,71.472633,209.32382,140.6041,171.9575,209.32382,171.9575,209.32382,171.9575,868.20184,209.32382,144.16676,140.6041,140.6041,209.32382,35.082195,209.32382,55.292522,55.292522,140.6041,144.16676,140.6041,140.6041,35.082195,209.32382
2020-03-12,211.38911,33.740406,6.8915472,35.626144,142.25385,70.638725,172.80037,147.92479,211.38911,70.638725,211.38911,142.25385,172.80037,211.38911,172.80037,211.38911,172.80037,875.56268,211.38911,147.92479,142.25385,142.25385,211.38911,35.626144,211.38911,54.297756,54.297756,142.25385,147.92479,142.25385,142.25385,35.626144,211.38911
2020-03-13,210.54208,33.326653,6.739759,36.561543,147.59102,70.044487,173.66547,152.29942,210.54208,70.044487,210.54208,147.59102,173.66547,210.54208,173.66547,210.54208,173.66547,884.09338,210.54208,152.29942,147.59102,147.59102,210.54208,36.561543,210.54208,53.322971,53.322971,147.59102,152.29942,147.59102,147.59102,36.561543,210.54208
2020-03-14,197.2476,30.54248,6.479785,36.377041,147.26111,66.668495,162.1505,145.40894,197.2476,66.668495,197.2476,147.26111,162.1505,197.2476,162.1505,197.2476,162.1505,843.9765,197.2476,145.40894,147.26111,147.26111,197.2476,36.377041,197.2476,51.840557,51.840557,147.26111,145.40894,147.26111,147.26111,36.377041,197.2476
2020-03-15,170.97324,27.601568,5.9521194,34.498344,138.0013,60.070156,146.85713,125.97832,170.97324,60.070156,170.97324,138.0013,146.85713,170.97324,146.85713,170.97324,146.85713,757.62085,170.97324,125.97832,138.0013,138.0013,170.97324,34.498344,170.97324,47.688656,47.688656,138.0013,125.97832,138.0013,138.0013,34.498344,170.97324
2020-03-16,170.72684,27.747065,6.0435271,35.870678,137.55933,62.724602,145.66124,122.4666,170.72684,62.724602,170.72684,137.55933,145.66124,170.72684,145.66124,170.72684,145.66124,758.69214,170.72684,122.4666,137.55933,137.55933,170.72684,35.870678,170.72684,49.892273,49.892273,137.55933,122.4666,137.55933,137.55933,35.870678,170.72684
